beta,method,Bias,RMSE,CI_length,Coverage,Power,Rhat
0,FMP,0.1676,0.3074,0.8542,0.792,0.193,1.0009
0,RMP,0.1677,0.3071,0.8553,0.787,0.198,1.0012
0,FPP,0.2984,0.3182,0.6168,0.522,0.478,1.0001
0,UPP,0.132,0.2513,0.8181,0.876,0.115,1.0004
0,ANPP,0.1928,0.2714,0.7734,0.819,0.178,1.0004
0,NPP,0.1921,0.2711,0.774,0.817,0.18,1.0004
0,ANCOVA,0.0073,0.2175,0.8227,0.931,0.035,NA
0.04999999999999993,FMP,0.1866,0.2988,0.8209,0.768,0.266,1.0008
0.04999999999999993,RMP,0.1868,0.299,0.821,0.772,0.268,1.0011
0.04999999999999993,FPP,0.2679,0.288,0.6134,0.635,0.539,1.0001
0.04999999999999993,UPP,0.1333,0.2384,0.8042,0.888,0.16,1.0004
0.04999999999999993,ANPP,0.1879,0.2548,0.7528,0.83,0.243,1.0004
0.04999999999999993,NPP,0.1873,0.2544,0.7538,0.832,0.241,1.0004
0.04999999999999993,ANCOVA,-0.0013,0.207,0.8225,0.954,0.043,NA
0.09999999999999998,FMP,0.1985,0.2945,0.7718,0.72,0.387,1.0008
0.09999999999999998,RMP,0.1985,0.2946,0.7715,0.715,0.386,1.001
0.09999999999999998,FPP,0.2438,0.2679,0.6108,0.686,0.633,1.0001
0.09999999999999998,UPP,0.1365,0.2382,0.7839,0.882,0.241,1.0004
0.09999999999999998,ANPP,0.183,0.2488,0.73,0.829,0.344,1.0004
0.09999999999999998,NPP,0.1825,0.2484,0.7308,0.835,0.341,1.0004
0.09999999999999998,ANCOVA,0.0011,0.2154,0.8237,0.944,0.074,NA
0.14999999999999997,FMP,0.201,0.2738,0.7218,0.677,0.516,1.0007
0.14999999999999997,RMP,0.201,0.2737,0.7223,0.669,0.519,1.0008
0.14999999999999997,FPP,0.2173,0.2428,0.6079,0.774,0.725,1.0001
0.14999999999999997,UPP,0.1345,0.2246,0.7621,0.887,0.315,1.0004
0.14999999999999997,ANPP,0.1735,0.2311,0.7089,0.844,0.443,1.0003
0.14999999999999997,NPP,0.1731,0.2309,0.7088,0.851,0.442,1.0003
0.14999999999999997,ANCOVA,-0.0029,0.2101,0.8244,0.949,0.097,NA
0.19999999999999996,FMP,0.192,0.2562,0.6771,0.675,0.615,1.0006
0.19999999999999996,RMP,0.1919,0.2563,0.6778,0.682,0.611,1.0007
0.19999999999999996,FPP,0.1897,0.2199,0.6058,0.838,0.785,1.0001
0.19999999999999996,UPP,0.1265,0.2165,0.7395,0.882,0.415,1.0004
0.19999999999999996,ANPP,0.158,0.2177,0.6882,0.868,0.54,1.0003
0.19999999999999996,NPP,0.1577,0.2176,0.6893,0.871,0.539,1.0003
0.19999999999999996,ANCOVA,-0.0074,0.21560000000000001,0.8245,0.938,0.149,NA
0.25,FMP,0.1895,0.2356,0.6215,0.708,0.745,1.0004
0.25,RMP,0.1896,0.2356,0.6208,0.703,0.744,1.0005
0.25,FPP,0.171,0.2052,0.6032,0.876,0.859,1.0001
0.25,UPP,0.129,0.2071,0.7109,0.9,0.551,1.0003
0.25,ANPP,0.1519,0.2061,0.6642,0.88,0.657,1.0003
0.25,NPP,0.1517,0.2062,0.665,0.88,0.658,1.0003
0.25,ANCOVA,0.0045,0.2189,0.826,0.935,0.219,NA
0.3,FMP,0.1646,0.2025,0.5888,0.825,0.824,1.0004
0.3,RMP,0.1647,0.2026,0.5896,0.808,0.825,1.0004
0.3,FPP,0.1396,0.1767,0.6021,0.929,0.904,1.0001
0.3,UPP,0.1093,0.183,0.6908,0.939,0.634,1.0004
0.3,ANPP,0.1272,0.1802,0.6492,0.928,0.74,1.0003
0.3,NPP,0.1269,0.1801,0.6496,0.927,0.733,1.0003
0.3,ANCOVA,-0.0085,0.2078,0.8254,0.942,0.275,NA
0.35,FMP,0.1463,0.1781,0.5555,0.893,0.9,1.0003
0.35,RMP,0.1462,0.1782,0.5559,0.891,0.898,1.0003
0.35,FPP,0.1193,0.1615,0.5994,0.956,0.938,1.0001
0.35,UPP,0.1012,0.1698,0.6659,0.955,0.73,1.0003
0.35,ANPP,0.1132,0.1658,0.6311,0.953,0.824,1.0003
0.35,NPP,0.1131,0.1658,0.6309,0.952,0.823,1.0003
0.35,ANCOVA,3e-4,0.2081,0.8237,0.953,0.374,NA
0.39999999999999997,FMP,0.1243,0.1545,0.5359,0.929,0.935,1.0002
0.39999999999999997,RMP,0.1243,0.1546,0.535,0.93,0.941,1.0002
0.39999999999999997,FPP,0.1011,0.1504,0.5982,0.957,0.963,1.0001
0.39999999999999997,UPP,0.0901,0.1587,0.648,0.952,0.836,1.0003
0.39999999999999997,ANPP,0.0983,0.1539,0.6181,0.954,0.894,1.0002
0.39999999999999997,NPP,0.0982,0.1539,0.6182,0.954,0.893,1.0003
0.39999999999999997,ANCOVA,0.0098,0.2141,0.8231,0.939,0.481,NA
0.44999999999999996,FMP,0.0935,0.1315,0.5233,0.968,0.96,1.0002
0.44999999999999996,RMP,0.0935,0.1314,0.5232,0.969,0.962,1.0002
0.44999999999999996,FPP,0.0756,0.1366,0.5964,0.978,0.975,1.0001
0.44999999999999996,UPP,0.0682,0.1459,0.6329,0.973,0.887,1.0003
0.44999999999999996,ANPP,0.0738,0.1395,0.6088,0.973,0.927,1.0002
0.44999999999999996,NPP,0.0737,0.1398,0.6088,0.975,0.925,1.0002
0.44999999999999996,ANCOVA,0.0074,0.2171,0.8215,0.94,0.564,NA
0.5,FMP,0.0673,0.1043,0.5087,0.99,0.988,1.0002
0.5,RMP,0.0671,0.1042,0.5092,0.99,0.989,1.0002
0.5,FPP,0.055,0.1211,0.595,0.982,0.992,1.0001
0.5,UPP,0.0523,0.1263,0.6195,0.98,0.937,1.0003
0.5,ANPP,0.0551,0.1213,0.5995,0.982,0.962,1.0002
0.5,NPP,0.055,0.1214,0.5994,0.985,0.966,1.0002
0.5,ANCOVA,0.0134,0.2056,0.821,0.955,0.672,NA
0.5499999999999999,FMP,0.0307,0.0865,0.5069,0.997,0.99,1.0002
0.5499999999999999,RMP,0.0307,0.0865,0.5075,0.998,0.989,1.0002
0.5499999999999999,FPP,0.0237,0.1121,0.5957,0.993,0.991,1.0001
0.5499999999999999,UPP,0.0225,0.1177,0.6162,0.989,0.96,1.0002
0.5499999999999999,ANPP,0.0239,0.1116,0.5974,0.992,0.973,1.0002
0.5499999999999999,NPP,0.0239,0.1119,0.5985,0.992,0.974,1.0002
0.5499999999999999,ANCOVA,0,0.2072,0.8244,0.947,0.737,NA
0.6,FMP,-6e-4,0.0786,0.5045,0.999,0.991,1.0002
0.6,RMP,-6e-4,0.0788,0.5053,0.999,0.992,1.0002
0.6,FPP,1e-4,0.1074,0.5936,0.993,0.996,1.0001
0.6,UPP,-3e-4,0.1125,0.6122,0.993,0.979,1.0003
0.6,ANPP,-2e-4,0.1065,0.5937,0.993,0.986,1.0002
0.6,NPP,-2e-4,0.1068,0.5944,0.993,0.986,1.0002
0.6,ANCOVA,0.0024,0.2034,0.8171,0.949,0.801,NA
