method,w,beta_true,beta_lab,DIC
FMP,0,0,beta=0.00,107.01923050552877
FMP,0,0.6,beta=0.60,107.1555828367119
FMP,0.1,0,beta=0.00,107.64985376313085
FMP,0.1,0.6,beta=0.60,104.93048175243572
FMP,0.2,0,beta=0.00,107.9809668548835
FMP,0.2,0.6,beta=0.60,104.74161935605036
FMP,0.3,0,beta=0.00,108.23357804053977
FMP,0.3,0.6,beta=0.60,104.66495405570647
FMP,0.4,0,beta=0.00,108.45069524240763
FMP,0.4,0.6,beta=0.60,104.6190100204279
FMP,0.5,0,beta=0.00,108.64875350044893
FMP,0.5,0.6,beta=0.60,104.5959699209265
FMP,0.6,0,beta=0.00,108.84355145903329
FMP,0.6,0.6,beta=0.60,104.57495779947473
FMP,0.7,0,beta=0.00,109.04510108307157
FMP,0.7,0.6,beta=0.60,104.55926824475107
FMP,0.8,0,beta=0.00,109.28895590261564
FMP,0.8,0.6,beta=0.60,104.5483843803546
FMP,0.9,0,beta=0.00,109.61591788973702
FMP,0.9,0.6,beta=0.60,104.53725044984802
FMP,1,0,beta=0.00,110.73966444442014
FMP,1,0.6,beta=0.60,104.53351438324145
FPP,0,0,beta=0.00,107.00782505002775
FPP,0,0.6,beta=0.60,107.1555489085895
FPP,0.1,0,beta=0.00,106.59787860777594
FPP,0.1,0.6,beta=0.60,106.19813964555297
FPP,0.2,0,beta=0.00,106.91232546379244
FPP,0.2,0.6,beta=0.60,105.65381453727906
FPP,0.3,0,beta=0.00,107.46076581824028
FPP,0.3,0.6,beta=0.60,105.30705495139082
FPP,0.4,0,beta=0.00,108.05595325089813
FPP,0.4,0.6,beta=0.60,105.07366403040672
FPP,0.5,0,beta=0.00,108.63744520902007
FPP,0.5,0.6,beta=0.60,104.9105519665044
FPP,0.6,0,beta=0.00,109.16504104159367
FPP,0.6,0.6,beta=0.60,104.78642421293561
FPP,0.7,0,beta=0.00,109.64200131705228
FPP,0.7,0.6,beta=0.60,104.69129637057823
FPP,0.8,0,beta=0.00,110.06465047400927
FPP,0.8,0.6,beta=0.60,104.6268605007254
FPP,0.9,0,beta=0.00,110.44080474354004
FPP,0.9,0.6,beta=0.60,104.570858321294
FPP,1,0,beta=0.00,110.77468192467215
FPP,1,0.6,beta=0.60,104.52834139354601
