FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
0.0344	0.0369	0.0034	0.0304	0.0194	0.0181	0.129781348692182
0.0589	0.0573	0.0071	0.0331	0.0242	0.027	0.207102120100039
0.0064	0.0066	5e-04	0.0041	0.0046	0.0051	0.0459959030187192
0.0017	0.0019	0.0011	0.0027	0.0023	0.002	0.0175248652497461
0.0027	0.0039	1e-04	0.0025	0.0013	0.0016	0.0193289403981106
0	2e-04	0	5e-04	0	1e-04	0.00218186988108426
4e-04	8e-04	1e-04	6e-04	3e-04	1e-04	0.00551544730819234
0.0096	0.0099	0.0028	0.0062	0.0038	0.0051	0.0417340769669045
0.1799	0.1769	0.0206	0.1064	0.0823	0.077	0.369315333856049
0.0319	0.0373	0.0033	0.0213	0.017	0.0153	0.123386246041385
1e-04	0	0	0	2e-04	2e-04	0.00152255026521193
0.0875	0.1022	0.0124	0.0625	0.0426	0.0436	0.23553032907664
0.0034	0.0041	8e-04	0.0032	0.0019	0.0022	0.0225697012621676
4e-04	6e-04	1e-04	0.001	3e-04	3e-04	0.00660672958653383
0	1e-04	0	0	0	0	0.000246893102025341
0	0	0	0	0	0	1.97546045622964e-05
0.0131	0.0096	9e-04	0.0071	0.0045	0.0078	0.0601027897262903
0.0011	0.0022	2e-04	0.0016	0.0018	0.0017	0.0177861465611256
0	0	0	0	0	0	0.00042184915644713
0	0	0	0	0	1e-04	0.00031460257590077
2e-04	0	0	0	0	0	0.000502142580081691
0.0069	0.0099	0.0014	0.0057	0.0027	0.0051	0.0524847417815507
1e-04	3e-04	1e-04	3e-04	0	1e-04	0.00257099396565931
0.0095	0.0079	0.001	0.0075	0.0036	0.0049	0.048294664876833
3e-04	0	0	0	0	0	0.000584926210005086
0.0352	0.0259	0.0029	0.0225	0.0138	0.0141	0.10590547448318
0.1642	0.1707	0.0213	0.094	0.0797	0.0735	0.290239654140909
0.0073	0.0087	0.0011	0.0083	0.0059	0.0058	0.0463946849298651
0.0029	0.0025	0	0.0012	0.0011	0.0014	0.0161400340231381
0	0	0	0	0	0	4.38741417135406e-05
0.0273	0.0281	0.0033	0.0178	0.0143	0.0158	0.122731381335635
0.4488	0.4445	0.0584	0.2693	0.2246	0.2177	0.584093145394848
0	0	0	0	1e-04	0	8.77780294155171e-05
4e-04	8e-04	2e-04	0.0013	7e-04	5e-04	0.00538544925808529
0.032	0.0316	0.0034	0.0195	0.0153	0.012	0.125509108130036
