FMP	RMP	FPP	UPP	ANPP	NPP	ANCOVA
0	0	0	0	0	0	2.83653292508435e-10
0	0	0	0	0	0	3.2064097700968e-09
0	0	0	0	0	0	5.21221104515851e-12
0	0	0	0	0	0	2.15194775439896e-15
0	0	0	0	0	0	6.58233055967768e-12
0	0	0	0	0	0	5.49151451743516e-10
0	0	0	0	0	0	2.91443756342418e-13
0	0	0	0	0	0	2.30489489403243e-11
0	0	0	0	0	0	9.58422417588215e-13
0	0	0	0	0	0	1.94337592827254e-12
0	0	0	0	0	0	3.46691987353692e-13
0	0	0	0	0	0	2.79191272369720e-12
0	0	0	0	0	0	6.3253381228793e-10
0	0	0	0	0	0	2.45352677602988e-11
0	0	0	0	0	0	4.20310597260662e-09
0	0	0	0	0	0	1.88262376021474e-11
0	0	0	0	0	0	7.53113247882361e-10
0	0	0	0	0	0	1.55126249417958e-10
0	0	0	0	0	0	3.16108434827024e-09
0	0	0	0	0	0	6.87618070494829e-13
0	0	0	0	0	0	6.63961218172229e-12
0	0	0	0	0	0	9.24780406468478e-13
0	0	0	0	0	0	3.45455631004007e-09
0	0	0	0	0	0	1.30392024287584e-09
0	0	0	0	0	0	1.39408119819607e-09
0	0	0	0	0	0	1.74108375284507e-08
0	0	0	0	0	0	7.9907911288256e-11
0	0	0	0	0	0	3.46252691286048e-11
0	0	0	0	0	0	4.37722627058804e-10
0	0	0	0	0	0	1.49017007060125e-12
0	0	0	0	0	0	9.83369571778311e-13
0	0	0	0	0	0	2.8057551826333e-07
0	0	0	0	0	0	9.735078720497e-10
0	0	0	0	0	0	2.76194124208162e-08
0	0	0	0	0	0	1.86526552125453e-08
0	0	0	0	0	0	5.22344285669021e-09
0	0	0	0	0	0	1.57694510419297e-09
0	0	0	0	0	0	1.8719625653574e-12
0	0	0	0	0	0	1.30558377955904e-08
0	0	0	0	0	0	3.03762120191406e-10
0	0	0	0	0	0	1.09080547483685e-10
0	0	0	0	0	0	1.0777011297293e-11
0	0	0	0	0	0	3.34148655571293e-08
0	0	0	0	0	0	2.81363107141497e-13
0	0	0	0	0	0	5.15965980998914e-09
0	0	0	0	0	0	9.35816721721667e-11
0	0	0	0	0	0	2.58319619853487e-10
0	0	0	0	0	0	6.54815266354807e-09
0	0	0	0	0	0	4.22474077804167e-08
0	0	0	0	0	0	1.80868004114445e-08
0	0	0	0	0	0	5.79491659656423e-09
0	0	0	0	0	0	1.22061026060316e-08
0	0	0	0	0	0	1.66163473881271e-06
0	0	0	0	0	0	1.30078126712766e-09
0	0	0	0	0	0	5.04074655113476e-11
0	0	0	0	0	0	7.60310344704822e-06
0	0	0	0	0	0	2.1113035706433e-11
0	0	0	0	0	0	5.32679539465364e-07
0	0	0	0	0	0	5.88938317324704e-10
0	0	0	0	0	0	3.48005231691611e-08
0	0	0	0	0	0	5.45840486367268e-11
0	0	0	0	0	0	1.07838572682301e-06
0	0	0	0	0	0	3.46813069288284e-13
0	0	0	0	0	0	1.10777714007823e-09
0	0	0	0	0	0	4.97000687340494e-09
0	0	0	0	0	0	4.20475383712868e-07
0	0	0	0	0	0	3.71697318566715e-09
0	0	0	0	0	0	3.49713074590238e-09
0	0	0	0	0	0	1.06579729572006e-06
0	0	0	0	0	0	9.057957679838e-13
0	0	0	0	0	0	6.23519029314951e-14
0	0	0	0	0	0	6.03062936928899e-10
0	0	0	0	0	0	4.04838570345506e-14
0	0	0	0	0	0	3.78152476509966e-08
0	0	0	0	0	0	9.85724015853317e-10
0	0	0	0	0	0	2.21144241397719e-08
0	0	0	0	0	0	5.37963174882714e-13
0	0	0	0	0	0	2.04220276133337e-10
0	0	0	0	0	0	1.53672213025982e-06
0	0	0	0	0	0	2.47201857915543e-09
0	0	0	0	0	0	9.92478531024592e-11
0	0	0	0	0	0	1.76152723572101e-09
0	0	0	0	0	0	6.61335518531662e-10
0	0	0	0	0	0	6.881665549146e-09
0	0	0	0	0	0	1.4017086367886e-07
0	0	0	0	0	0	1.78386585583122e-06
0	0	0	0	0	0	9.66397890059732e-11
0	0	0	0	0	0	7.99382030957322e-11
0	0	0	0	0	0	5.04788611189033e-09
0	0	0	0	0	0	3.24565651654144e-08
0	0	0	0	0	0	9.39589111154526e-09
0	0	0	0	0	0	6.55811353825366e-10
0	0	0	0	0	0	2.89443574831513e-09
0	0	0	0	0	0	2.88632242951913e-09
0	0	0	0	0	0	2.71838600009691e-09
0	0	0	0	0	0	3.42807122682658e-08
0	0	0	0	0	0	5.20394582565584e-07
0	0	0	0	0	0	1.06783184528032e-07
0	0	0	0	0	0	2.97505768785489e-09
0	0	0	0	0	0	1.80235099329348e-07
0	0	0	0	0	0	7.00313474797222e-13
0	0	0	0	0	0	3.33775033787822e-13
0	0	0	0	0	0	4.27958603774283e-11
0	0	0	0	0	0	6.75280243504136e-11
0	0	0	0	0	0	2.317389217037e-09
0	0	0	0	0	0	3.62201077263688e-10
0	0	0	0	0	0	3.20339918702426e-14
0	0	0	0	0	0	7.20399208782207e-11
0	0	0	0	0	0	1.17643466974577e-12
0	0	0	0	0	0	5.05524399106224e-08
0	0	0	0	0	0	3.01578368771653e-10
0	0	0	0	0	0	9.16318890963384e-08
0	0	0	0	0	0	1.46134831439315e-09
0	0	0	0	0	0	1.5166811146714e-08
0	0	0	0	0	0	3.45626558764959e-08
0	0	0	0	0	0	1.62668656134967e-10
0	0	0	0	0	0	4.09266783989861e-10
0	0	0	0	0	0	3.52969951422539e-09
0	0	0	0	0	0	7.64865101856423e-12
0	0	0	0	0	0	4.83657838191734e-07
0	0	0	0	0	0	3.02999600577753e-09
0	0	0	0	0	0	2.07014599799151e-11
0	0	0	0	0	0	2.68141201746655e-08
0	0	0	0	0	0	3.54163442113183e-07
0	0	0	0	0	0	1.43535085065831e-09
0	0	0	0	0	0	3.17282336857561e-16
0	0	0	0	0	0	7.17715235674004e-08
0	0	0	0	0	0	3.5912250508326e-12
0	0	0	0	0	0	1.88433945165609e-12
0	0	0	0	0	0	8.41349844258617e-09
0	0	0	0	0	0	8.15056333238895e-10
0	0	0	0	0	0	1.16532241268807e-07
0	0	0	0	0	0	1.85188065261946e-09
0	0	0	0	0	0	2.02126861813376e-07
0	0	0	0	0	0	1.38919639574305e-06
0	0	0	0	0	0	1.38127239714597e-13
0	0	0	0	0	0	3.66682193373031e-11
0	0	0	0	0	0	1.57191499322547e-14
0	0	0	0	0	0	3.0311479051324e-14
0	0	0	0	0	0	3.34523238579484e-11
0	0	0	0	0	0	2.74102280765212e-10
0	0	0	0	0	0	1.40605350958703e-12
0	0	0	0	0	0	5.61982145525177e-13
0	0	0	0	0	0	8.15239386321084e-07
0	0	0	0	0	0	1.49775111512575e-12
0	0	0	0	0	0	6.69788135622087e-13
0	0	0	0	0	0	1.7268652898112e-08
0	0	0	0	0	0	1.2859815825403e-07
0	0	0	0	0	0	1.02493080990375e-08
0	0	0	0	0	0	2.21538908746737e-11
0	0	0	0	0	0	3.35351605967318e-09
0	0	0	0	0	0	2.53987948800635e-08
0	0	0	0	0	0	1.26424008542415e-06
0	0	0	0	0	0	5.98952159626805e-08
0	0	0	0	0	0	6.79955656346137e-09
0	0	0	0	0	0	2.89057322932325e-08
0	0	0	0	0	0	3.2140818900066e-07
0	0	0	0	0	0	3.46690443021363e-07
0	0	0	0	0	0	4.41838070704554e-09
0	0	0	0	0	0	5.54529198165846e-08
0	0	0	0	0	0	1.26165215837093e-12
