FMP	FPP
0.0289	4e-04
0.0388	0.0017
0.0068	5e-04
0.8229	0.0275
0.0297	0.0012
0.1157	0.0041
0.0042	3e-04
1e-04	1e-04
0.692	0.0186
0.1138	0.0026
0.4179	0.0101
0.0057	2e-04
0.0228	6e-04
0.3194	0.0101
0.0488	0.0014
0.0163	7e-04
0.718	0.022
0.4442	0.0151
0.243	0.0069
0.4899	0.0173
0.3226	0.0101
0.0841	0.0022
0.6695	0.0217
0.1721	0.0075
0.232	0.0077
0.9282	0.0474
0.4229	0.0068
0.5735	0.0152
0.0788	0.0022
0.9628	0.0667
0.0557	0.0025
0.0647	0.002
0.0018	3e-04
0.685	0.0273
0.0308	0.0016
0.0261	0.0015
0.1386	0.0054
0.1496	0.0042
0.0016	1e-04
0.1716	0.0065
0.1831	0.0033
0.0056	2e-04
0.8061	0.0365
0.0046	6e-04
0.0657	0.0022
0.3708	0.0112
0.9688	0.056
0.2193	0.0053
3e-04	0
0.0033	2e-04
0.0398	0.0016
0.114	0.0019
0.0098	7e-04
0.0177	3e-04
0.1591	0.0042
0.9035	0.09
0.0074	2e-04
0.2637	0.0075
0.001	1e-04
0.7727	0.0282
0.0342	0.0011
0.7679	0.0221
0.1597	0.0059
0.8666	0.0262
0.0884	0.003
0.8964	0.0689
0.4982	0.0118
0.004	3e-04
0.0996	0.0023
0.7843	0.0274
0.0974	0.0035
0.4798	0.0139
0.2221	0.0048
0.034	8e-04
0.1978	0.0052
0.0923	0.0026
0.6052	0.0194
0.1348	0.0033
0.4715	0.0098
0.9405	0.0513
0.5405	0.0141
0.0622	0.0031
0.1442	0.0044
0.2186	0.0074
0	0
4e-04	1e-04
0.2992	0.0065
0.0511	0.0028
0.0659	0.0019
0.0657	0.0024
0.9142	0.0483
0.5243	0.0165
0.0223	6e-04
0.0022	1e-04
0.4682	0.0197
0.0585	0.002
0.1474	0.0064
0.0115	3e-04
0.4884	0.0125
0.4688	0.0122
0.0012	0
0.2088	0.0047
0.173	0.0052
0.0019	0
0.2318	0.0058
0.0933	0.004
0.0487	0.0023
0.3977	0.0095
0.0783	0.0017
0.1829	0.0064
0.0964	0.0032
0.0032	2e-04
0.9786	0.0927
0.3584	0.0135
8e-04	0
0.0483	0.0025
0.0146	9e-04
0.0138	7e-04
0.0222	0.001
0.0439	0.003
0.0733	0.0033
0.1375	0.0048
0.0372	0.0015
0.0148	7e-04
0.0153	6e-04
0.2406	0.0092
0.0051	1e-04
0.4531	0.0124
0.0654	0.0022
0.1663	0.0042
0.1018	0.0027
0.1406	0.0034
0.3711	0.0138
0.4728	0.0233
0.0182	6e-04
0.4148	0.0114
0.0554	0.0018
0.1918	0.0053
0.5436	0.0123
0.7	0.0327
0.8848	0.0297
0.0956	0.0028
0.0143	6e-04
0.7197	0.0234
0.0449	0.0016
0.0261	0.001
0.2744	0.0052
0.0308	9e-04
0.2862	0.0092
0.3794	0.0086
0.0425	0.0015
0.3295	0.0111
0.3836	0.0093
0.0666	0.0018
0.3168	0.0089
0.9718	0.0668
0.9788	0.1016
6e-04	0
0.0188	6e-04
0.5672	0.0114
0.5958	0.028
0.4657	0.016
0.0142	8e-04
0.2006	0.0049
0.1316	0.0028
0.2977	0.0083
0.0086	5e-04
0.9984	0.1666
0.6845	0.0198
0.0131	6e-04
0.0874	0.0028
0.0188	6e-04
0.9912	0.1578
0.0195	9e-04
0.0696	0.0022
5e-04	0
0.573	0.0136
0.1084	0.0029
0.0348	6e-04
0.1475	0.0029
8e-04	2e-04
0.0466	0.0013
0.0319	0.0011
0.05	9e-04
0.2961	0.007
0.0839	0.004
0.0985	0.005
0.1181	0.0045
0.0041	3e-04
0.1433	0.0053
0.5553	0.0162
0.0538	0.0018
0.024	4e-04
0.6944	0.0338
0.0089	7e-04
0.0395	9e-04
0.8959	0.0394
0.3353	0.0086
0.092	0.0034
0.0956	0.0023
0.1287	0.0036
0.3354	0.014
0.0931	0.0032
0.1799	0.0054
0.1743	0.0047
0.391	0.0135
0.2708	0.0086
0.1659	0.0037
0.626	0.0141
0.3776	0.0134
0.029	0.0014
0.2022	0.0039
1e-04	0
0.0255	9e-04
0.0954	0.0026
0.8005	0.0319
0.0921	0.0018
0.2792	0.01
0.2449	0.0062
0.0014	1e-04
0.1289	0.0036
5e-04	0
0.047	0.0024
0.036	0.0014
0.2832	0.0068
0.1753	0.0035
0.1985	0.0061
0.0414	8e-04
0.3619	0.008
0.0646	0.0014
0.3672	0.0083
0.1713	0.0051
0.0228	8e-04
0.3447	0.0115
0.2628	0.0086
0.0893	0.0021
0.0186	6e-04
0.0059	2e-04
0.3104	0.0079
0.0778	0.0017
0.2265	0.005
0.0027	2e-04
0.6959	0.019
0.0083	2e-04
0.7275	0.029
8e-04	0
0.0513	0.0016
0.0368	0.0013
0.0411	0.0014
0.1243	0.0036
0.0227	8e-04
7e-04	0
0.7872	0.0207
0.6942	0.0179
0.0082	4e-04
0.0305	0.0019
0.0065	2e-04
0.0149	5e-04
0.2148	0.0054
0.0065	6e-04
0.0059	2e-04
0.001	0
0.0023	0
0.0725	0.0024
0.4108	0.0151
0.5963	0.0156
0.0026	0
0.0579	0.0021
0.3662	0.0148
0.0184	8e-04
0.066	0.0018
0.0501	0.0029
0.0049	3e-04
0.2526	0.0084
0.1404	0.0046
0.2389	0.0049
0.0029	1e-04
0.0072	4e-04
0.0144	4e-04
0.2069	0.0064
0.021	5e-04
0.9281	0.0403
0.0681	0.0021
0.6566	0.0234
0.0061	4e-04
0.5684	0.0279
0.0183	6e-04
0.0149	5e-04
0.0257	6e-04
0.1671	0.0047
0.2315	0.0083
0.125	0.0037
0.0024	0
2e-04	0
0.4114	0.0148
0.1929	0.0076
0.9881	0.1239
0.5972	0.0253
0.0586	0.0017
0.3765	0.0099
0.0406	9e-04
0.0129	6e-04
0.8313	0.0292
0.1263	0.0029
0.2059	0.004
0.9698	0.0715
0.9111	0.0571
0.0157	6e-04
0.4947	0.0149
0.0072	3e-04
0.0037	3e-04
0.0758	0.0016
0.5531	0.0144
0.3773	0.0091
0.0493	0.0013
0.8308	0.0612
0.563	0.0165
0.081	0.0023
0.1116	0.0044
0.6777	0.0248
0.0055	2e-04
0.3933	0.0113
0.4896	0.014
0.0868	0.0024
0.0568	0.002
0.1003	0.0035
0.1116	0.0028
0.0402	9e-04
0.2392	0.0083
0.3497	0.0084
0.1635	0.0052
0.1391	0.0049
0.0094	2e-04
0.0098	0
0.088	0.0022
0.0667	0.002
0.2337	0.009
0.0125	3e-04
0.4101	0.0089
0.0425	6e-04
0.4254	0.0116
0.1232	0.0035
0.2632	0.0106
0.0017	2e-04
0.0201	5e-04
0.0192	9e-04
0.0876	0.0014
0.011	0
0.004	1e-04
0.392	0.0124
0.8608	0.029
0.1255	0.0043
0.6056	0.0195
