FMP	FPP
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.002	0
0	0
0	0
1e-04	0
1e-04	0
0	0
0	0
0	0
0	0
1e-04	3e-04
4e-04	0
0	0
1e-04	0
0	0
7e-04	0
0	0
0	0
0	0
6e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1e-04	0
0	3e-04
0	0
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1e-04	0
0	0
6e-04	0
0	0
0	0
4e-04	0
0	0
2e-04	1e-04
0	0
2e-04	0
0.0024	6e-04
0	0
0	0
0	0
0	0
0	1e-04
0	0
2e-04	3e-04
0	0
2e-04	0
0	0
3e-04	3e-04
0	0
0	1e-04
0	1e-04
0	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
6e-04	0
0	0
2e-04	0
0	0
0	0
0.0013	0.0013
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
2e-04	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3e-04
0	0
0	0
1e-04	2e-04
2e-04	6e-04
0	0
0	0
0	0
0	0
3e-04	0
0	0
4e-04	1e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
0	0
0	0
8e-04	5e-04
0	0
0	1e-04
0	0
0.0039	9e-04
0	0
0	0
0	0
0	0
0	0
9e-04	2e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1e-04
0	0
3e-04	0
3e-04	4e-04
0	0
0	1e-04
0	0
0	0
1e-04	3e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1e-04	2e-04
0	0
0	0
1e-04	0
4e-04	0.001
0	0
0	0
0	0
0	0
0	0
0	0
0.0012	1e-04
0	0
0	0
0	0
0	0
1e-04	0
0	0
1e-04	0
0	0
0	0
0	0
1e-04	0
0	0
0	0
0	0
1e-04	0
3e-04	2e-04
2e-04	0
1e-04	1e-04
1e-04	0
0	0
0	0
0	0
0	0
1e-04	0
2e-04	2e-04
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1e-04	0
3e-04	2e-04
0	0
0	0
0	0
3e-04	0
6e-04	2e-04
0	0
0	0
0	0
1e-04	1e-04
0	0
0	0
2e-04	0
0	0
0	0
0	0
0	2e-04
0	1e-04
0.0015	3e-04
2e-04	0
1e-04	0
0	0
1e-04	0
0	0
1e-04	0
0	0
0	0
0	0
0.005	0.0016
0	0
1e-04	0
2e-04	2e-04
0	1e-04
0	0
0	0
0	0
0	0
0	0
1e-04	2e-04
0	0
4e-04	4e-04
