w	FMP	FPP
0	109.859893792565	109.952751394148
0.47	107.400782691184	107.706405354054
1	107.428330223507	107.420424468184
0.24	107.448424716468	108.267788991586
0.98	107.449580606255	107.392541185687
0.18	107.633380199185	108.459116097063
0.97	107.373138408317	107.32262324493
0.96	107.374339968009	107.402669213169
0.39	107.417706321006	107.803119517663
0.46	107.381760992917	107.62911088126
0.73	107.355995019386	107.463782852536
0.69	107.325096214178	107.388516313004
0.99	107.40179141892	107.354194235445
0.25	107.438926436583	108.197494278009
0.63	107.446438523002	107.55424834632
0.23	107.541217965582	108.230634584441
0.52	107.444479937659	107.73494054674
0.13	107.654076043805	108.752745504927
0.8	107.42243321993	107.493954465529
0.76	107.350364163572	107.446212024688
0.06	107.981164223142	109.227156615006
0.2	107.620121985604	108.607573863409
0.75	107.355308679867	107.521605981976
0.33	107.436500010922	107.945918597996
0.53	107.358710134495	107.603155710274
0.77	107.41729409142	107.352225264822
0.95	107.376814511249	107.408191722696
0.08	107.857130564289	109.089911559933
0.4	107.465668213266	107.811826045178
0.49	107.409880025734	107.827254352688
0.28	107.478167639556	108.220652771849
0.37	107.471039253417	107.932768815149
0.6	107.334156262921	107.55974916494
0.91	107.36259165852	107.415010067941
0.71	107.411448206598	107.492043821039
0.7	107.35033716411	107.429537883489
0.67	107.361780732718	107.592501146283
0.43	107.442023399964	107.815243091569
0.5	107.411653521651	107.66958910383
0.14	107.663644499951	108.585094488575
0.02	108.748187904712	109.556775211189
0.22	107.471171722131	108.321454786801
0.41	107.399640507208	107.777900518147
0.58	107.452235279699	107.611899348637
0.94	107.359614794388	107.33397363736
0.45	107.330260832185	107.667652761694
0.32	107.403040956708	108.063205560695
0.31	107.387326959776	108.102521952583
0.21	107.615200962404	108.343191602835
0.68	107.411701660345	107.454556642625
0.86	107.322237244499	107.479419100006
0.26	107.458759827956	108.202367747087
0.83	107.417041636706	107.511194111377
0.65	107.427838316327	107.537489196363
0.17	107.641843523361	108.697430665596
0.29	107.446347009104	107.985008403873
0.15	107.632086748863	108.570425941659
0.04	108.372727381903	109.452532741744
0.78	107.311191660828	107.45931750543
0.64	107.404850945511	107.548665638192
0.11	107.698373720881	108.861710475691
0.44	107.453303060173	107.878327080861
0.48	107.415742063805	107.78220608402
0.56	107.338661052517	107.61400205743
0.82	107.437718213508	107.458012923214
0.35	107.433432360444	108.009572217299
0.42	107.447749870764	107.812893011549
0.36	107.492072523839	107.943037782949
0.74	107.369349473002	107.465190124936
0.16	107.695482496023	108.641369020457
0.19	107.627861727463	108.501183912996
0.62	107.298135575425	107.512190258218
0.92	107.415007191147	107.377099395503
0.38	107.501084691863	107.950359510471
0.93	107.318287708918	107.360768130279
0.66	107.459257725418	107.567138058212
0.57	107.432357638169	107.678448296372
0.05	108.155417441732	109.280220864667
0.54	107.451402153942	107.613014418812
0.81	107.361965284582	107.384458940066
0.79	107.351967735491	107.431387879441
0.03	108.560668503193	109.453991174471
0.27	107.596901254961	108.206865040789
0.12	107.846029336941	108.806052775619
0.09	107.843118615341	109.021808004242
0.1	107.792702774589	108.962337563088
0.85	107.379287573199	107.345438712045
0.84	107.350362422626	107.43904518322
0.01	109.293375782796	109.704107100357
0.87	107.396833417402	107.326924453522
0.61	107.362774903576	107.629202093722
0.88	107.447139123167	107.362908712669
0.89	107.372809996222	107.408586371103
0.3	107.614434478421	108.050984746337
0.34	107.445816566667	107.904745038275
0.07	108.176035710885	109.17980373291
0.59	107.330610549025	107.701724945597
0.9	107.339502979644	107.361870374171
0.72	107.305695952562	107.487209629557
0.55	107.373572203096	107.596831290037
0.51	107.425773187407	107.739747875083
