w	FMP	FPP
0.29	109.138863769661	109.135388772553
0.94	108.581078463669	108.727233083813
0.87	108.703365841932	108.710898252011
0.73	108.626208963631	108.721665363667
0.57	108.743342488303	108.800896246576
0.28	109.038079166682	109.215907254748
0.56	108.665143214049	108.814653158243
0	110.036235668278	109.847041769004
0.23	109.136692846777	109.34268055432
0.38	108.858363910132	109.099444061647
0.21	109.087026013038	109.342897064149
0.96	108.58463888364	108.664316985111
0.2	109.308105642749	109.407032567426
0.04	109.836917317503	109.649377798477
0.15	109.468823133694	109.572406392658
0.5	108.885625408904	109.049066915275
0.26	109.061155929328	109.227472587485
0.52	108.919444286789	109.011074722429
0.69	108.841350371449	108.557777904384
0.83	108.757827660806	108.712628279777
0.32	109.084683702381	109.065920765244
0.93	108.643541936795	108.681599938115
0.98	108.675239220667	108.453512330994
0.97	108.541820426965	108.698544225755
0.65	108.801640523972	108.896998990825
0.02	109.957207684173	109.92337428806
0.16	109.326384306839	109.326640586502
0.7	108.712608659456	108.732601121495
0.68	108.625191399521	108.813455224895
0.6	108.740932428422	108.893796963859
0.76	108.539978827835	108.712638310293
0.35	109.086475200844	109.146201730737
0.31	109.071801492232	109.186763045697
0.75	108.716530508402	108.804857055533
0.67	108.830490767486	108.783325934735
0.07	109.581600259714	109.653503116136
0.62	108.691108140046	108.816562166335
0.27	109.083076826437	109.23793420595
0.01	109.939287514591	110.077772548884
0.95	108.657794416968	108.621146654472
0.71	108.690566934809	108.663605539867
0.11	109.45803403442	109.629761163195
0.03	109.890731729761	109.747162010711
0.22	109.220675817319	109.262518987714
0.19	109.19726703121	109.356508346056
0.58	108.754015773163	108.824425003193
0.17	109.340274613808	109.253728930788
0.45	108.868493623511	109.068345443814
0.13	109.320683509579	109.527935324773
0.9	108.649311069941	108.609708527124
0.53	108.669569946032	108.948234984449
0.43	108.956815503177	108.969492973207
0.06	109.574532020648	109.701369704078
0.48	108.875342754228	108.944696593336
0.39	108.860244538346	109.044460039577
0.82	108.736142799858	108.620672475088
0.12	109.407056243444	109.423949596292
0.85	108.55660731681	108.817978301147
0.74	108.683534748758	108.71524106456
0.42	108.903154418361	108.896721049467
0.05	109.573907711528	109.627586696331
0.8	108.886444065996	108.806695872014
0.66	108.633473715468	108.729524142616
0.49	108.77481071331	109.035239072994
0.24	109.192012523313	109.277926088769
0.18	109.179348898862	109.364878573904
0.46	108.759767079666	109.050324907
0.99	108.485499536026	108.596450076424
0.81	108.577220129912	108.763912855662
0.55	108.871924347077	108.870464198782
0.89	108.769464401083	108.661463569561
0.47	109.029556205638	108.979929330218
0.44	108.776387671751	109.017038201606
0.79	108.682602999213	108.686319471792
0.84	108.603373228681	108.571229296817
0.09	109.45816861198	109.772462971097
0.72	108.608648643796	108.769054988016
0.25	108.994587694669	109.267636881449
0.63	108.830309137254	108.824909293279
0.86	108.636209167719	108.720584957703
0.33	109.033075900454	109.174923794389
0.34	109.009580881573	109.200152902701
0.61	108.701341400368	108.821073198178
0.54	108.762732036988	108.837677021899
1	108.520248842222	108.559374097958
0.3	108.923665635833	109.146917132828
0.37	108.880915187958	109.035615746058
0.14	109.262772077096	109.596201213614
0.59	108.805731560741	108.759596476244
0.41	108.871960935637	108.932049110217
0.64	108.706405706688	108.798896730476
0.36	108.962536112888	108.983649288255
0.08	109.371716373036	109.668996661933
0.4	108.84520520864	109.099437691069
0.1	109.539524444223	109.503922323469
0.77	108.719027698468	108.702946936037
0.88	108.681718093322	108.769582061438
0.78	108.574455942805	108.733581433369
0.92	108.553134435017	108.740960273835
0.91	108.661495101144	108.539848992955
0.51	108.818117876138	108.902624325417
