w	FMP	FPP
0	0.305036368375612	0.306877036802239
0.47	0.506217838725112	0.459257713033664
1	0.508411619585996	0.512553156800004
0.24	0.501271948274678	0.410402104335604
0.98	0.51089784129733	0.508418046986393
0.18	0.495879243040885	0.396966194532945
0.97	0.509214629434849	0.509479494358675
0.96	0.509654286037378	0.508595377713415
0.39	0.506727016981685	0.44221614455144
0.46	0.504564693971427	0.454741123171996
0.73	0.512223695328358	0.488975792858965
0.69	0.507793067585339	0.484016663842711
0.99	0.508328867924757	0.510110651586436
0.25	0.497596584944592	0.414189774102431
0.63	0.509165175061195	0.479945551653486
0.23	0.499206668959197	0.40521379831803
0.52	0.509086304363159	0.466652983607824
0.13	0.491590732046752	0.379853294264664
0.8	0.509770761641156	0.498747706261056
0.76	0.509065342219053	0.492773159370817
0.06	0.470923601791921	0.346781281699488
0.2	0.497986183444313	0.402844525835485
0.75	0.51085213228066	0.492469908871643
0.33	0.503167008417502	0.433425166760523
0.53	0.504944885820368	0.467001564498319
0.77	0.509702804427125	0.493867223859402
0.95	0.509782414276875	0.510897477207206
0.08	0.484546594829592	0.354128170775603
0.4	0.505016710131022	0.446360429538634
0.49	0.50718131396561	0.46309243821123
0.28	0.501248760213285	0.41884135605948
0.37	0.500936752487328	0.442133778896784
0.6	0.50643377460002	0.475840525064653
0.91	0.508870769330173	0.505596331870215
0.71	0.50877501693772	0.489144445088015
0.7	0.506188116834374	0.484158846648193
0.67	0.509258894715532	0.483192864917943
0.43	0.504789446733464	0.457982979018939
0.5	0.507133650362157	0.465200369241493
0.14	0.493015903537411	0.379819311158347
0.02	0.42425100570588	0.32231555447089
0.22	0.497162848488457	0.40613681819074
0.41	0.507497030348866	0.448149633570908
0.58	0.508673499455573	0.473369471617751
0.94	0.510506156435636	0.505578857008912
0.45	0.507353394144133	0.454521403035049
0.32	0.502631036923714	0.433061821565433
0.31	0.508643977760691	0.429064194397002
0.21	0.499113202187982	0.404746055375616
0.68	0.510353540304852	0.483666413529706
0.86	0.510237051923703	0.49835408559013
0.26	0.50151429657748	0.420519805270626
0.83	0.509950190796956	0.497763470293061
0.65	0.509181928319009	0.483719381309234
0.17	0.494402335428144	0.390884799190753
0.29	0.50644156022609	0.423587002218272
0.15	0.493438609515637	0.386278240553218
0.04	0.453416608618381	0.331336483478943
0.78	0.507397390421075	0.493099748491091
0.64	0.510935427405593	0.4817033703875
0.11	0.489175110952988	0.367110484616497
0.44	0.50608681965755	0.457572251010292
0.48	0.507466994937852	0.462685812784427
0.56	0.505969762998081	0.472076783643435
0.82	0.510856174895506	0.498526090112344
0.35	0.504357551374876	0.437319934550117
0.42	0.504962684756065	0.449784408133777
0.36	0.504728133086741	0.441856939895192
0.74	0.506923086763013	0.490170794387818
0.16	0.495035013040692	0.386521418655976
0.19	0.500873119098525	0.396921217744186
0.62	0.507345478892914	0.478203187182547
0.92	0.511296496657711	0.506991062971657
0.38	0.502556541187986	0.444753462394218
0.93	0.509529842576221	0.504433394666883
0.66	0.510010568505729	0.482461138275637
0.57	0.505037878615765	0.47372813547214
0.05	0.467768339660052	0.337161862017472
0.54	0.509942469359253	0.467351545959316
0.81	0.509460660008315	0.49461993946594
0.79	0.511348024048671	0.495634859502162
0.03	0.440164190194633	0.325422870242272
0.27	0.505065688271936	0.424494495648197
0.12	0.490488205334424	0.374980184340001
0.09	0.482546716474384	0.35796722826694
0.1	0.483838432730292	0.364226743590013
0.85	0.512380518822015	0.499849274340608
0.84	0.507907854439957	0.50125504522207
0.01	0.384081272130452	0.310653949595183
0.87	0.511102096855717	0.500959385924562
0.61	0.508164144970892	0.47770521047911
0.88	0.512012493831995	0.502477968410246
0.89	0.514006018632916	0.502444488268651
0.3	0.502816716775669	0.426029880813555
0.34	0.505400498420821	0.437497358015703
0.07	0.473989562422553	0.347032533456004
0.59	0.508224372058703	0.475923373835594
0.9	0.509874985165952	0.505281595330824
0.72	0.507106673734322	0.492587073044643
0.55	0.506108402853719	0.46935379235549
0.51	0.50852138380074	0.464325527935197
