w	FMP	FPP
0.29	0.595524998892031	0.600976648405368
0.94	0.600320920744006	0.599394092292427
0.87	0.599479897221798	0.600575612942177
0.73	0.600065154562063	0.60239308672691
0.57	0.599799471978395	0.599033362684081
0.28	0.601682035871135	0.600957353411725
0.56	0.600228528005274	0.598540235387387
0	0.601238315810403	0.600089674466736
0.23	0.599537289959741	0.597947198328241
0.38	0.598200313042061	0.599407660716285
0.21	0.59956860280102	0.602581252191537
0.96	0.60050231925583	0.599566709553905
0.2	0.596244429546167	0.599620734996633
0.04	0.595681529359302	0.597625488667326
0.15	0.596974304218419	0.597295495317414
0.5	0.597188504950674	0.601106082470111
0.26	0.600457471568342	0.596222643136514
0.52	0.599935632821992	0.60159091269905
0.69	0.605868844204711	0.599047813401063
0.83	0.597111400224379	0.599398099314361
0.32	0.599285671304007	0.600943849052619
0.93	0.597745372219746	0.599624229537646
0.98	0.600096276512338	0.600370294270873
0.97	0.598457366049168	0.601434784128135
0.65	0.599474212150111	0.601289959426865
0.02	0.59743400045806	0.602765170895261
0.16	0.600413244937447	0.60343787637245
0.7	0.599214467998392	0.600360350609483
0.68	0.59937550255006	0.600450947593776
0.6	0.601945799449495	0.601259501410427
0.76	0.599035596852617	0.600518112556973
0.35	0.600079357573178	0.600008788294378
0.31	0.600416920512667	0.60177612118394
0.75	0.601927932185979	0.596816117527806
0.67	0.601468272589868	0.601219270582634
0.07	0.597787792568789	0.596459059939466
0.62	0.597527654189212	0.601466357833891
0.27	0.598013605663561	0.598966017132338
0.01	0.603838986587164	0.60360705752425
0.95	0.599842633053878	0.599791006592768
0.71	0.599605352623245	0.598990077627243
0.11	0.599294033423158	0.602300940532571
0.03	0.605682568838656	0.603902133875613
0.22	0.599944086116853	0.60263965361119
0.19	0.596760451315038	0.599952072117083
0.58	0.599983508327918	0.603428636944301
0.17	0.602578052643581	0.60174981636163
0.45	0.597392901898006	0.601281623560712
0.13	0.602178208866299	0.602555903004396
0.9	0.602783393451594	0.602299614002391
0.53	0.600698551053087	0.599954356157698
0.43	0.598250563339944	0.597287288699288
0.06	0.598672262020967	0.601217760385332
0.48	0.597637425788663	0.597924724426005
0.39	0.600271215630904	0.59914203566722
0.82	0.603457417156259	0.601894907938196
0.12	0.596008578028474	0.601164643773006
0.85	0.598531906647938	0.599797689452309
0.74	0.601339978432699	0.598925911350575
0.42	0.600016580205712	0.59848719010868
0.05	0.601446673465294	0.600577526196738
0.8	0.598669330711193	0.599724081670748
0.66	0.603222192193281	0.597488958238384
0.49	0.597550631141446	0.60469045733387
0.24	0.602923391452676	0.598359026195496
0.18	0.598498481679737	0.599496800128884
0.46	0.602671489407868	0.596379153962742
0.99	0.600198821372263	0.599864935655555
0.55	0.597864594892708	0.599945004664208
0.81	0.597274894320049	0.601842481707181
0.89	0.59937748600729	0.599084101947403
0.47	0.602552566694805	0.598018178647149
0.44	0.60050111846359	0.599534865659069
0.79	0.601289952543204	0.599602368456684
0.84	0.600508403896855	0.600063234172989
0.09	0.602284603227993	0.599999109183517
0.72	0.60071212633392	0.5984681055153
0.25	0.596023616888371	0.601549955478006
0.63	0.598391687057792	0.600644337951613
0.86	0.602974311083518	0.600467040521522
0.33	0.599825721109653	0.598025435136369
0.34	0.600383920838846	0.600372591339891
0.61	0.599689401887037	0.598779111211658
0.54	0.5985458954223	0.601216361484576
1	0.599557056852604	0.600943570162048
0.3	0.599189118962357	0.599112751641282
0.37	0.599250625586824	0.595850935707689
0.14	0.600574933705798	0.602352562748119
0.59	0.60286879536482	0.597457896153583
0.41	0.599979643623773	0.598889760021669
0.64	0.599107802539175	0.599451614829872
0.36	0.597129972515873	0.600623880517758
0.08	0.600575969894743	0.600174580951153
0.4	0.599072226036068	0.597360446343064
0.1	0.599191160604981	0.602739116415808
0.77	0.600396295965898	0.599721776386155
0.88	0.599993180189371	0.597855518153479
0.78	0.599915023070973	0.598415715653018
0.92	0.600217913146266	0.599491541421012
0.91	0.599786395724257	0.599006797954913
0.51	0.59926525057914	0.601210375477797
