w	FMP	FPP
0.93	0.704342530305111	0.689294555546212
0.79	0.677279000631214	0.684327994036994
0.97	0.686105269099697	0.69820837128953
0.99	0.699726219722389	0.695873774311821
0.83	0.680201977313949	0.688321126654427
0.27	0.616228776757119	0.63249828116032
0.53	0.655911849382196	0.666142156864764
0.24	0.60584335713701	0.61606048546043
0.98	0.70286119846117	0.68976582696704
0.5	0.646624057904321	0.65996028825966
0.55	0.651646908165984	0.669232314766902
0.41	0.637256579205735	0.644007612281745
0.63	0.676205247821923	0.683576196325025
0.57	0.66299421095411	0.672777260689961
1	0.69723249395807	0.694088062299088
0.43	0.649049450164721	0.657936272656163
0.64	0.6660258577449	0.668650580456941
0.15	0.589673491407654	0.580526421423692
0.19	0.595707244718131	0.598146569713884
0.39	0.634963346122589	0.64619019876321
0.76	0.68157991603621	0.693747866934044
0.73	0.674830804874449	0.688191352065494
0.1	0.551349425977851	0.552261736072136
0.25	0.608427808647901	0.612658736468299
0.3	0.620660200209198	0.624398963673055
0.21	0.589356216264589	0.600643756910578
0.8	0.681535255040236	0.682392717968771
0.96	0.69261374522567	0.6922164993329
0.34	0.619808164090352	0.633233304681207
0.17	0.584298056670064	0.596138755075087
0.48	0.645302147913299	0.667755210936527
0.65	0.665398346865526	0.675065333055399
0.08	0.548866484091872	0.55848809359066
0.92	0.688617602921072	0.695017652986321
0.11	0.549781060863803	0.559809313371421
0.23	0.60389632353998	0.613068762309714
0.29	0.611030522005807	0.627683466285765
0.66	0.664845960769056	0.679573661103259
0.46	0.646937824545662	0.660448553927442
0.49	0.651650982013524	0.660210322266866
0.95	0.691857126037984	0.698885748494438
0.03	0.524489672026922	0.52074865982853
0.69	0.670797428792372	0.678596077517915
0.7	0.669516395560227	0.677258587701174
0.35	0.631889687628297	0.628950909579877
0.59	0.657833858662152	0.675133408462193
0.84	0.683603047141966	0.686191223160568
0.12	0.577885785885106	0.572497729862899
0.33	0.623226885067284	0.625286738862257
0.52	0.644677569384353	0.661806326000636
0.56	0.658779743158267	0.674283838597047
0.28	0.602971553188347	0.620969987686569
0.6	0.655534056993017	0.670737682863867
0.61	0.660614719157316	0.67581127166377
0.45	0.649533561776718	0.664668475767554
0.54	0.648673508887734	0.668442705760499
0.91	0.683552673623976	0.697790456543011
0.77	0.67456186401039	0.682762334858872
0.62	0.660557857500306	0.678432204945216
0	0.484729864314381	0.502318456725095
0.78	0.678316380058052	0.686001613451228
0.86	0.689782963365666	0.685332341986966
0.67	0.664798543831844	0.67361808399153
0.14	0.572158648790306	0.583236155840271
0.68	0.671205764292119	0.680723220043867
0.85	0.682383957562661	0.696180532262361
0.04	0.521570567373156	0.526449845112213
0.06	0.534004231420522	0.549110509983328
0.38	0.629729811165629	0.639559228237641
0.42	0.629403234697247	0.646771864819516
0.89	0.690568187571463	0.685525239512589
0.31	0.605992688950145	0.629963382497063
0.47	0.645204181607914	0.660025456144119
0.44	0.633922392340258	0.66047165644449
0.87	0.678807251689108	0.689080192096883
0.75	0.68195035294346	0.685204928693375
0.58	0.662175001482563	0.671866098811633
0.05	0.519675710121778	0.541401239998349
0.2	0.600992386392072	0.594024136844513
0.94	0.693210233942625	0.688937681218787
0.22	0.601271718922611	0.622989996052157
0.07	0.530613622213656	0.53632872511771
0.09	0.554201984384366	0.559681088340187
0.82	0.681515296246197	0.696494225056651
0.01	0.497526533293905	0.505986022839536
0.13	0.567392639894818	0.565208945122011
0.72	0.675619931429683	0.68442374174245
0.37	0.62345922292377	0.648162106319949
0.74	0.673671309155581	0.684234761590326
0.16	0.586025608960958	0.588820068581546
0.26	0.605231932298371	0.617298755356923
0.32	0.627707093993205	0.633179401729892
0.02	0.503678565336874	0.515587892506915
0.4	0.63627091942533	0.655218264182022
0.18	0.585917208522654	0.584960601825412
0.81	0.673925577224104	0.686764233202175
0.36	0.633340461362638	0.643616994055916
0.9	0.684645511058436	0.692171681211737
0.71	0.672726430157843	0.682688153597891
0.88	0.687419859218155	0.688351669651614
0.51	0.653601669456521	0.661359930041972
